timestamp,symbol,signal,action,signal_strength,confidence,price,position_size,trade_value,commission,margin_used,leverage,capital_after,available_margin,profit_loss,trade_return_pct,capital_before,mfe,mae,exit_reason
10:00 2024/03/26,BTCUSDT,TREND_REVERSAL,SELL,,,70585.87053,-0.4223359578272958,29810.951239361042,2.9810951239361043,5907.719845279779,,45708.938790105705,,267.8939878768851,4.5346427199138475,45441.04480222882,0.00965769972607151,0.0017470573834085848,TREND_REVERSAL
11:00 2024/03/26,BTCUSDT,WEAK_BUY,BUY,0.3,0.30000000000000004,70480.0,0.42154952062384665,29712.295754079394,2.9712295754079396,5942.162042713742,5.0,45705.9675605303,4057.8379572862577,,,,,,
12:00 2024/03/26,BTCUSDT,TREND_REVERSAL,SELL,,,70645.66754,-0.42154952062384665,29780.647285638643,2.9780647285638646,5942.162042713742,,45771.341027360984,,65.37346683068468,1.1001629770572376,45705.9675605303,0.0033550535867076553,0.0003436831563643438,TREND_REVERSAL
13:00 2024/03/26,BTCUSDT,BUY,BUY,0.6000000000000001,0.5,70347.6,0.4229194978618267,29752.859236368033,2.9752859236368034,5950.2743335569285,5.0,45768.365741437345,4049.7256664430715,,,,,,
14:00 2024/03/26,BTCUSDT,TREND_REVERSAL,SELL,,,70654.06712,-0.4229194978618267,29880.982588286202,2.9880982588286202,5950.2743335569285,,45893.500995096685,,125.13525365934103,2.103016544189119,45768.365741437345,0.004519937022214148,0.000430943830447625,TREND_REVERSAL
15:00 2024/03/26,BTCUSDT,BUY,BUY,0.9,0.75,70545.6,0.5168265193245241,36461.65989350524,3.646165989350524,7291.96738033203,5.0,45889.85482910733,2708.03261966797,,,,,,
18:00 2024/03/26,BTCUSDT,TREND_REVERSAL,SELL,,,70949.65234,-0.5168265193245241,36668.66186616728,3.666866186616728,7291.96738033203,,46093.189935582755,,203.33510647542087,2.788480746963548,45889.85482910733,0.011600040305983848,0.003463221862834817,TREND_REVERSAL
19:00 2024/03/26,BTCUSDT,BUY,BUY,0.6000000000000001,0.5,70738.4,0.4235404456155185,29962.071486801706,2.996207148680171,5992.1146916257585,5.0,46090.193728434075,4007.8853083742415,,,,,,
21:00 2024/03/26,BTCUSDT,TREND_REVERSAL,SELL,,,70444.27761,-0.4235404456155185,29836.000730002695,2.98360007300027,5992.1146916257585,,45961.139371562065,,-129.05435687201054,-2.1537364271810358,46090.193728434075,0.0066588942925425425,0.00901073603230381,TREND_REVERSAL
00:00 2024/03/27,BTCUSDT,BUY,BUY,0.8,0.65,69798.2,0.47557324132706613,33195.81592060547,3.319581592060547,6638.831242558966,5.0,45957.81978997,3361.1687574410344,,,,,,
